Tue Jun 11 10:33:10 2024    stats_profiling.raw

         80899264 function calls (80517487 primitive calls) in 212.103 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    82435    0.269    0.000    6.362    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/einsumfunc.py:1009(einsum)
       25    0.262    0.010    0.274    0.011 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/mpl_toolkits/mplot3d/art3d.py:1142(_generate_normals)
   655945    0.262    0.000    0.262    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/lib/shape_base.py:1267(<genexpr>)
82949/82881    0.262    0.000    0.388    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/cbook/__init__.py:291(process)
     2002    0.252    0.000   11.258    0.006 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/scipy/optimize/_lsq/trf.py:205(trf_bounds)
     5600    0.252    0.000    1.343    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/text.py:363(_get_layout)
    84956    0.235    0.000    1.070    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/_ufunc_config.py:430(__enter__)
   983821    0.235    0.000    0.235    0.000 {method 'items' of 'dict' objects}
     3144    0.228    0.000    0.314    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/scipy/optimize/_numdiff.py:11(_adjust_scheme_to_bounds)
       25    0.220    0.009    0.330    0.013 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/mpl_toolkits/mplot3d/art3d.py:911(get_vector)
447199/447111    0.218    0.000    0.419    0.000 {built-in method builtins.getattr}
     2002    0.214    0.000   30.250    0.015 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/scipy/optimize/_lsq/least_squares.py:241(least_squares)
    62525    0.208    0.000    1.787    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/mpl_toolkits/mplot3d/art3d.py:1000(<genexpr>)
1035460/1035028    0.207    0.000    0.208    0.000 {built-in method builtins.len}
   274056    0.207    0.000    0.207    0.000 {built-in method numpy.asarray}
    84956    0.206    0.000    0.848    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/_ufunc_config.py:435(__exit__)
      497    0.205    0.000    0.205    0.000 {method 'argmax' of 'numpy.ndarray' objects}
    25325    0.198    0.000    0.405    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/linalg/linalg.py:2383(norm)
   412175    0.193    0.000    0.193    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/einsumfunc.py:1001(_einsum_dispatcher)
    62500    0.192    0.000    1.142    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/mpl_toolkits/mplot3d/axes3d.py:1630(<listcomp>)
   491942    0.191    0.000    0.191    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/lib/shape_base.py:1257(<genexpr>)
     5363    0.190    0.000    0.249    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/scipy/optimize/_lsq/common.py:401(find_active_constraints)
    25373    0.182    0.000    0.304    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/cbook/__init__.py:1726(normalize_kwargs)
     5146    0.176    0.000    0.277    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/scipy/optimize/_lsq/common.py:467(CL_scaling_vector)
    22492    0.173    0.000    0.222    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/numeric.py:136(ones)
        9    0.172    0.019    0.396    0.044 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/backend_bases.py:2850(create_with_canvas)
   170064    0.168    0.000    0.168    0.000 {built-in method numpy.seterrobj}
       68    0.162    0.002    0.166    0.002 {built-in method matplotlib._image.resample}
   172574    0.158    0.000    0.201    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/_api/__init__.py:101(check_in_list)
     3361    0.150    0.000    0.321    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/scipy/optimize/_lsq/common.py:440(make_strictly_feasible)
    72086    0.148    0.000    0.243    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/cbook/__init__.py:1994(_setattr_cm)
    70595    0.148    0.000    0.362    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/copy.py:66(copy)
    42777    0.140    0.000    0.213    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/font_manager.py:631(__hash__)
     3144    0.139    0.000   25.890    0.008 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/scipy/optimize/_numdiff.py:275(approx_derivative)
    62500    0.138    0.000    0.995    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/lib/function_base.py:398(average)
     5115    0.137    0.000    1.268    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/lines.py:272(__init__)
     1887    0.134    0.000    0.180    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
   720232    0.131    0.000    0.131    0.000 {method 'append' of 'list' objects}
   169390    0.131    0.000    0.279    0.000 {built-in method builtins.all}
   368444    0.128    0.000    0.128    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/fromnumeric.py:2172(_sum_dispatcher)
        6    0.127    0.021    0.151    0.025 /Users/federicasibilla/Documenti/Tesi/SIMULAZIONI/N_dynamics.py:23(growth_rates)
14990/10157    0.126    0.000    0.254    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/transforms.py:2436(get_affine)
    38037    0.122    0.000    0.490    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/copy.py:259(_reconstruct)
    12496    0.121    0.000    0.221    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/artist.py:180(__init__)
        2    0.121    0.060   36.356   18.178 /Users/federicasibilla/Documenti/Tesi/SIMULAZIONI/well_mixed.py:84(run_wellmixed)
     3144    0.118    0.000    0.126    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/scipy/optimize/_numdiff.py:144(_compute_absolute_step)
     3061    0.118    0.000    4.222    0.001 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/scipy/integrate/_ivp/rk.py:111(_step_impl)
    25820    0.114    0.000    0.235    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/transforms.py:754(__init__)
    67897    0.113    0.000    0.319    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/path.py:202(_update_values)
    72964    0.113    0.000    0.113    0.000 {method 'copy' of 'numpy.ndarray' objects}
   678592    0.112    0.000    0.112    0.000 {method 'get' of 'dict' objects}
   340128    0.108    0.000    0.108    0.000 {built-in method numpy.geterrobj}
    27794    0.105    0.000    0.105    0.000 {method 'dot' of 'numpy.ndarray' objects}
    93169    0.104    0.000    0.104    0.000 {built-in method numpy.empty}
   447517    0.104    0.000    0.104    0.000 {function RcParams.__getitem__ at 0x7fc704ec3be0}
    25379    0.102    0.000    0.120    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/transforms.py:194(set_children)
   139651    0.100    0.000    0.178    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/cbook/__init__.py:1327(_to_unmasked_float_array)
   103301    0.097    0.000    0.277    0.000 {built-in method builtins.any}
    84931    0.096    0.000    0.096    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/_ufunc_config.py:426(__init__)
        2    0.094    0.047  142.594   71.297 /Users/federicasibilla/Documenti/Tesi/SIMULAZIONI/update.py:227(simulate_MG)
    68280    0.094    0.000    0.144    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/transforms.py:1764(__init__)
    10157    0.093    0.000    0.102    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/numeric.py:203(ones_like)
   458057    0.093    0.000    0.093    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/artist.py:851(get_animated)
     2158    0.092    0.000    0.647    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/ticker.py:2074(_raw_ticks)
    38841    0.089    0.000    0.101    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/contextlib.py:102(__init__)
    25373    0.085    0.000    0.085    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/cbook/__init__.py:1765(<dictcomp>)
   112932    0.084    0.000    0.084    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/transforms.py:110(__init__)
       50    0.083    0.002    1.726    0.035 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/collections.py:1175(set_verts)
12860/3215    0.083    0.000    0.750    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/copy.py:227(_deepcopy_dict)
       12    0.083    0.007    0.084    0.007 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/backends/backend_agg.py:78(__init__)
        9    0.079    0.009    0.079    0.009 {method 'copy' of 'ImagingCore' objects}
    33920    0.078    0.000    0.495    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/fromnumeric.py:53(_wrapfunc)
    10701    0.078    0.000    0.109    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/numeric.py:67(zeros_like)
        9    0.076    0.008    0.081    0.009 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/backends/backend_macosx.py:107(__init__)
     2002    0.075    0.000    5.664    0.003 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/scipy/integrate/_ivp/ivp.py:156(solve_ivp)
     2002    0.074    0.000    0.290    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/scipy/optimize/_lsq/least_squares.py:130(check_x_scale)
   332894    0.072    0.000    0.072    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/multiarray.py:153(concatenate)
   204049    0.072    0.000    0.072    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/_api/__init__.py:154(<genexpr>)
43670/22954    0.071    0.000    0.092    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/transforms.py:167(_invalidate_internal)
     3144    0.071    0.000    0.314    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/lines.py:654(recache)
       25    0.071    0.003    0.071    0.003 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/mpl_toolkits/mplot3d/art3d.py:984(<listcomp>)
6868/6843    0.071    0.000    3.757    0.001 {built-in method builtins.sorted}
        9    0.068    0.008    0.068    0.008 {built-in method set_icon}
     4673    0.068    0.000    1.383    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/text.py:918(get_window_extent)
      466    0.068    0.000    0.094    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/lib/index_tricks.py:147(__getitem__)
        3    0.067    0.022    0.067    0.022 {built-in method _imp.create_dynamic}
    82169    0.066    0.000    0.447    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/artist.py:417(pchanged)
    11984    0.066    0.000    1.016    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/markers.py:327(_set_marker)
    29268    0.065    0.000    0.163    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/transforms.py:1881(__init__)
     1652    0.065    0.000    2.527    0.002 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/axis.py:58(__init__)
     2002    0.064    0.000    0.592    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/scipy/integrate/_ivp/common.py:66(select_initial_step)
    39652    0.063    0.000    0.063    0.000 {method 'ravel' of 'numpy.ndarray' objects}
     1390    0.062    0.000    5.074    0.004 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/axis.py:1257(_update_ticks)
   130642    0.060    0.000    0.060    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/multiarray.py:741(dot)
     2227    0.059    0.000    0.130    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/shape_base.py:219(vstack)
   375000    0.058    0.000    0.058    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/lib/index_tricks.py:764(__getitem__)
       25    0.057    0.002    3.731    0.149 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/mpl_toolkits/mplot3d/axes3d.py:472(<lambda>)
   346475    0.056    0.000    0.056    0.000 {built-in method builtins.id}
       50    0.056    0.001    0.063    0.001 {scipy.interpolate._rgi_cython.find_indices}
        9    0.056    0.006    0.216    0.024 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/backends/backend_macosx.py:148(__init__)
    62525    0.056    0.000    0.088    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/mpl_toolkits/mplot3d/art3d.py:886(<genexpr>)
     1964    0.056    0.000    0.151    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/ticker.py:778(_set_format)
