Tue Jun 11 10:06:30 2024    stats_profiling.raw

         81370879 function calls (80985164 primitive calls) in 183.891 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2133    0.297    0.000    0.297    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
       25    0.270    0.011    0.282    0.011 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/mpl_toolkits/mplot3d/art3d.py:1142(_generate_normals)
   700713    0.264    0.000    0.264    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/lib/shape_base.py:1267(<genexpr>)
83530/83462    0.258    0.000    0.378    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/cbook/__init__.py:291(process)
     5644    0.248    0.000    1.324    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/text.py:363(_get_layout)
   449283    0.229    0.000    0.330    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/__init__.py:674(_get)
     5609    0.220    0.000    0.301    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/scipy/optimize/_lsq/common.py:401(find_active_constraints)
1053275/1052843    0.219    0.000    0.220    0.000 {built-in method builtins.len}
450497/450409    0.219    0.000    0.421    0.000 {built-in method builtins.getattr}
    27280    0.216    0.000    0.416    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/linalg/linalg.py:2383(norm)
   525518    0.214    0.000    0.214    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/lib/shape_base.py:1257(<genexpr>)
     3358    0.209    0.000    0.312    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/scipy/optimize/_numdiff.py:11(_adjust_scheme_to_bounds)
    62525    0.202    0.000    1.728    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/mpl_toolkits/mplot3d/art3d.py:1000(<genexpr>)
     2002    0.199    0.000   31.126    0.016 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/scipy/optimize/_lsq/least_squares.py:241(least_squares)
      497    0.197    0.000    0.197    0.000 {method 'argmax' of 'numpy.ndarray' objects}
    62500    0.196    0.000    1.181    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/mpl_toolkits/mplot3d/axes3d.py:1630(<listcomp>)
    90453    0.191    0.000    0.833    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/_ufunc_config.py:435(__exit__)
   440155    0.189    0.000    0.189    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/einsumfunc.py:1001(_einsum_dispatcher)
    90453    0.188    0.000    1.050    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/_ufunc_config.py:430(__enter__)
     5360    0.185    0.000    0.292    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/scipy/optimize/_lsq/common.py:467(CL_scaling_vector)
   181058    0.180    0.000    0.180    0.000 {built-in method numpy.seterrobj}
    25515    0.180    0.000    0.297    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/cbook/__init__.py:1726(normalize_kwargs)
