Tue Jun 11 10:11:33 2024    stats_profiling.raw

         81264732 function calls (80879145 primitive calls) in 221.513 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       25    0.257    0.010    0.269    0.011 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/mpl_toolkits/mplot3d/art3d.py:1142(_generate_normals)
31453/30943    0.253    0.000    1.253    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/artist.py:1180(_update_props)
     5623    0.253    0.000    1.337    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/text.py:363(_get_layout)
     4726    0.235    0.000    0.252    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/lib/twodim_base.py:234(diag)
   449168    0.234    0.000    0.340    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/__init__.py:674(_get)
    72506    0.228    0.000    0.323    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/cbook/__init__.py:1994(_setattr_cm)
    26151    0.226    0.000    0.422    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/linalg/linalg.py:2383(norm)
     5350    0.225    0.000    0.333    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/scipy/optimize/_lsq/common.py:467(CL_scaling_vector)
450430/450342    0.222    0.000    0.424    0.000 {built-in method builtins.getattr}
     5544    0.221    0.000    0.284    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/scipy/optimize/_lsq/common.py:401(find_active_constraints)
1052208/1051776    0.220    0.000    0.221    0.000 {built-in method builtins.len}
      497    0.213    0.000    0.213    0.000 {method 'argmax' of 'numpy.ndarray' objects}
     3348    0.210    0.000    0.298    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/scipy/optimize/_numdiff.py:11(_adjust_scheme_to_bounds)
   273828    0.210    0.000    0.210    0.000 {built-in method numpy.asarray}
       25    0.206    0.008    3.554    0.142 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/mpl_toolkits/mplot3d/art3d.py:966(do_3d_projection)
    90262    0.204    0.000    0.865    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/_ufunc_config.py:435(__exit__)
   525524    0.203    0.000    0.203    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/lib/shape_base.py:1257(<genexpr>)
   438580    0.199    0.000    0.199    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/einsumfunc.py:1001(_einsum_dispatcher)
     2002    0.195    0.000   31.903    0.016 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/scipy/optimize/_lsq/least_squares.py:241(least_squares)
    62525    0.190    0.000    1.688    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/mpl_toolkits/mplot3d/art3d.py:1000(<genexpr>)
   180676    0.190    0.000    0.190    0.000 {built-in method numpy.seterrobj}
    68064    0.189    0.000    0.361    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/_api/__init__.py:134(check_shape)
